benchmark,n_samples,model,prompting,n_shot,"exact_match,strict-match","exact_match_stderr,strict-match","exact_match,flexible-extract","exact_match_stderr,flexible-extract",score
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct,gsm8k,5,0.1463229719484458,0.009735210557785246,0.6648976497346475,0.013001948176422945,0.6648976497346475
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct,gsm8k_cot_llama,8,0.7293404094010614,0.012238245006183418,0.7482941622441244,0.011954326617705024,0.7482941622441244
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct,gsm8k_cot_org,8,0.030326004548900682,0.004723487465514785,0.6641394996209249,0.013009224714267372,0.6641394996209249
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct,gsm8k_cot_zeroshot,0,0.0,0.0,0.689158453373768,0.012748860507777715,0.689158453373768
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct,gsm8k_grpo,0,0.34723275208491283,0.013113898382146872,0.7414708112206216,0.012059911372516127,0.7414708112206216
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct,gsm8k_cot_llama,8,0.7445034116755117,0.012013462405460069,0.759666413949962,0.011769580703836956,0.759666413949962
gsm8k [:1319],1319,Meta-Llama-3.1-8B-Instruct,gsm8k,5,0.2100075815011372,0.011219441626913245,0.8081880212282032,0.010845169955294026,0.8081880212282032
gsm8k [:1319],1319,Meta-Llama-3.1-8B-Instruct,gsm8k_cot_llama,8,0.8362395754359363,0.010193237214420978,0.8369977255496588,0.010174223319872463,0.8369977255496588
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct-GRPO-full,gsm8k_grpo,0,0.7664897649734648,0.011653286808791049,0.8066717210007581,0.010877733223180574,0.8066717210007581
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct-GRPO-full,gsm8k,5,0.24791508718726307,0.01189398021482617,0.7058377558756633,0.012551285331470152,0.7058377558756633
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct-GRPO-full,gsm8k_cot_llama,8,0.7846853677028052,0.011322096294579658,0.7892342683851402,0.011234280469030465,0.7892342683851402
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct-GRPO-full,gsm8k_cot_org,8,0.060652009097801364,0.006574733381405863,0.6868840030326004,0.012774285669385096,0.6868840030326004
gsm8k [:1319],1319,Meta-Llama-3-8B-Instruct-GRPO-full,gsm8k_cot_zeroshot,0,0.003032600454890068,0.001514573561224544,0.7149355572403336,0.012435042334904013,0.7149355572403336
